nome	cognome	indirizzo	codice fiscale	data nascita	classe	username	password	materia
Mario	Romano	995 Antonio Street	0453303628052491	2020-07-08	3BET	mario.romano	mario	
Luigi	Colombo	6 Roberto Street	6088281723531671	2019-02-27	1ASP	luigi.colombo	luigi	
Marco	Bianco	788 Alessandro Street	8930227864773856	2019-01-03	5AET	marco.bianco	marco	
Francesco	Ferrari	858 Davide Street	6850186644623062	2020-01-01	5BIF	francesco.ferrari	francesco	
Roberto	Colombo	768 Antonio Street	8375392239294350	2021-10-02	4CIF	roberto.colombo	roberto	
Paolo	Rossi	639 Roberto Street	7613622773098741	2019-12-25	5BIF	paolo.rossi	paolo	
Giovanni	Russo	698 Roberto Street	2014091625964380	2020-10-14	5BIF	giovanni.russo	giovanni	
Francesco	Ferrari	150 Francesco Street	7930856068349677	2023-08-11	5BIF	francesco.ferrari	francesco	
Mario	Ricci	629 Davide Street	2312826415282859	2019-04-13	4CIF	mario.ricci	mario	
Antonio	Bianco	681 Giovanni Street	4312533770478599	2022-04-04	2ODA	antonio.bianco	antonio	
Antonio	Ricci	556 Mario Street	5868751503305661	2020-04-28	2ODA	antonio.ricci	antonio	
Giovanni	Russo	845 Luigi Street	4073982350448232	2021-10-29	3BET	giovanni.russo	giovanni	
Alessandro	Ferrari	634 Roberto Street	4056268410615411	2024-04-05	1ASP	alessandro.ferrari	alessandro	
Roberto	Bianchi	947 Davide Street	1478968171162811	2022-09-09	5AET	roberto.bianchi	roberto	
Luigi	Verdi	565 Marco Street	8609889051369282	2021-01-31	3BET	luigi.verdi	luigi	
Marco	Russo	728 Francesco Street	8335186759663937	2020-08-14	5BIF	marco.russo	marco	
Mario	Ferrari	210 Luigi Street	4281460952360455	2018-07-20	5AET	mario.ferrari	mario	
Antonio	Ferrari	883 Alessandro Street	0213626925065402	2019-10-06	1ASP	antonio.ferrari	antonio	
Paolo	Bianchi	594 Marco Street	1623180251288689	2022-08-05	3ATM	paolo.bianchi	paolo	
Mario	Romano	473 Antonio Street	2004953911505090	2019-09-05	2ODA	mario.romano	mario	
Roberto	Romano	14 Mario Street	0530697505157854	2019-11-30	5AET	roberto.romano	roberto	
Giovanni	Ricci	865 Roberto Street	0886261732248181	2022-12-01	5AET	giovanni.ricci	giovanni	
Roberto	Bianchi	997 Marco Street	1142250057484462	2023-05-25	1ASP	roberto.bianchi	roberto	
Luigi	Verdi	747 Giovanni Street	5501588084504118	2024-04-26	3ATM	luigi.verdi	luigi	
Roberto	Romano	424 Giovanni Street	9117929002439976	2020-11-21	5BIF	roberto.romano	roberto	
Marco	Ricci	906 Alessandro Street	9593527533349677	2019-05-02	3ATM	marco.ricci	marco	
Giovanni	Ferrari	424 Mario Street	0490048008479059	2019-10-13	1ASP	giovanni.ferrari	giovanni	
Marco	Colombo	510 Paolo Street	5518588872507115	2023-03-07	2ODA	marco.colombo	marco	
Paolo	Bianco	52 Alessandro Street	2095932466423857	2023-02-18	4CIF	paolo.bianco	paolo	
Mario	Bianchi	360 Davide Street	2891197440658455	2021-12-12	2ODA	mario.bianchi	mario	
Giovanni	Verdi	643 Francesco Street	1493797847907005	2022-10-18	5AET	giovanni.verdi	giovanni	
Francesco	Ferrari	528 Alessandro Street	3008571453711778	2022-08-28	5BIF	francesco.ferrari	francesco	
Paolo	Esposito	340 Paolo Street	2717583669162225	2020-04-02	5BIF	paolo.esposito	paolo	
Francesco	Romano	32 Marco Street	7716043430986232	2022-10-01	2ODA	francesco.romano	francesco	
Davide	Russo	575 Luigi Street	4068867334398871	2023-07-29	1ASP	davide.russo	davide	
Francesco	Russo	344 Roberto Street	3690035885054984	2019-10-29	5AET	francesco.russo	francesco	
Alessandro	Rossi	616 Paolo Street	9865452783828430	2024-01-10	4CIF	alessandro.rossi	alessandro	
Antonio	Ricci	653 Paolo Street	1930457387734735	2018-10-10	4CIF	antonio.ricci	antonio	
Antonio	Russo	828 Alessandro Street	6246627378921954	2018-06-07	2AET	antonio.russo	antonio	
Giovanni	Verdi	56 Davide Street	4857682131920057	2019-10-31	2AET	giovanni.verdi	giovanni	
Mario	Russo	842 Giovanni Street	9401133785934584	2018-08-30	3ATM	mario.russo	mario	
Luigi	Romano	4 Mario Street	3007597339738296	2018-11-20	5AET	luigi.romano	luigi	
Giovanni	Esposito	944 Luigi Street	3362080856913369	2018-12-21	5AET	giovanni.esposito	giovanni	
Mario	Ferrari	937 Davide Street	1448176860171085	2019-08-10	1ASP	mario.ferrari	mario	
Giovanni	Romano	189 Antonio Street	9375672078373495	2022-06-09	2ODA	giovanni.romano	giovanni	
Marco	Ferrari	877 Roberto Street	3015296464231552	2020-05-27	2ODA	marco.ferrari	marco	
Alessandro	Romano	668 Roberto Street	4957303555270908	2024-04-16	1ASP	alessandro.romano	alessandro	
Marco	Russo	397 Roberto Street	2350479097799701	2020-01-25	1ASP	marco.russo	marco	
Mario	Russo	924 Mario Street	4161420139003576	2018-11-18	5AET	mario.russo	mario	
Mario	Colombo	17 Alessandro Street	5936687635689882	2023-02-13	2ODA	mario.colombo	mario	
Davide	Bianchi	118 Francesco Street	7708355469726131	2021-05-18	1ASP	davide.bianchi	davide	
Alessandro	Bianchi	473 Davide Street	0852216988964647	2019-10-06	5AET	alessandro.bianchi	alessandro	
Davide	Russo	177 Davide Street	6721779525477215	2021-11-21	1ASP	davide.russo	davide	
Roberto	Colombo	613 Francesco Street	5243335532468252	2020-12-27	5BIF	roberto.colombo	roberto	
Alessandro	Romano	858 Francesco Street	8965723822744669	2021-10-31	3ATM	alessandro.romano	alessandro	
Paolo	Verdi	371 Davide Street	8305040995831115	2019-10-11	3BET	paolo.verdi	paolo	
Antonio	Ricci	144 Roberto Street	2829393868692444	2020-02-24	4CIF	antonio.ricci	antonio	
Francesco	Colombo	818 Davide Street	6333394086697952	2021-01-03	5BIF	francesco.colombo	francesco	
Giovanni	Ferrari	579 Mario Street	3461929283720033	2021-05-02	5BIF	giovanni.ferrari	giovanni	
Antonio	Esposito	427 Roberto Street	1226866285435393	2023-05-22	1ASP	antonio.esposito	antonio	
Antonio	Russo	656 Francesco Street	9505523491401211	2022-06-18	3ATM	antonio.russo	antonio	
Francesco	Colombo	584 Alessandro Street	3545886456087993	2018-07-15	2ODA	francesco.colombo	francesco	
Alessandro	Rossi	780 Luigi Street	8217323251773112	2022-09-30	2AET	alessandro.rossi	alessandro	
Antonio	Romano	83 Francesco Street	3686595221930249	2021-06-13	2AET	antonio.romano	antonio	
Marco	Bianchi	420 Marco Street	8263107417959667	2021-07-07	3BET	marco.bianchi	marco	
Paolo	Colombo	377 Marco Street	9972545305288982	2020-10-10	3ATM	paolo.colombo	paolo	
Paolo	Verdi	758 Giovanni Street	8048874871788754	2022-05-04	5AET	paolo.verdi	paolo	
Giovanni	Verdi	618 Giovanni Street	5589593767984215	2020-07-31	2AET	giovanni.verdi	giovanni	
Roberto	Bianchi	412 Paolo Street	0850219575465668	2020-11-18	3ATM	roberto.bianchi	roberto	
Antonio	Ferrari	130 Giovanni Street	7937334503627055	2022-11-28	4CIF	antonio.ferrari	antonio	
Antonio	Verdi	163 Marco Street	0737014584641637	2019-02-13	5BIF	antonio.verdi	antonio	
Antonio	Rossi	569 Mario Street	5886709957769373	2021-04-13	2AET	antonio.rossi	antonio	
Mario	Bianco	46 Davide Street	6475055137830403	2020-05-03	3ATM	mario.bianco	mario	
Roberto	Bianco	484 Luigi Street	0806781874056752	2020-10-06	1ASP	roberto.bianco	roberto	
Luigi	Bianco	19 Mario Street	5574745785164319	2022-11-16	3BET	luigi.bianco	luigi	
Davide	Ferrari	362 Roberto Street	9081631298544148	2022-11-28	5BIF	davide.ferrari	davide	
Marco	Verdi	0 Luigi Street	4450504989774358	2022-03-14	2ODA	marco.verdi	marco	
Mario	Rossi	497 Antonio Street	2400388718448936	2019-03-11	5AET	mario.rossi	mario	
Luigi	Romano	894 Luigi Street	5601838801760204	2020-07-24	4CIF	luigi.romano	luigi	
Giovanni	Romano	454 Marco Street	2873325676715592	2022-06-05	1ASP	giovanni.romano	giovanni	
Davide	Bianco	820 Paolo Street	7336604008822266	2020-06-26	5BIF	davide.bianco	davide	
Mario	Colombo	796 Mario Street	3384499849595103	2022-08-30	2AET	mario.colombo	mario	
Roberto	Russo	364 Luigi Street	0476696670976454	2023-09-29	4CIF	roberto.russo	roberto	
Giovanni	Verdi	241 Antonio Street	7437070121128099	2021-10-18	2ODA	giovanni.verdi	giovanni	
Giovanni	Bianchi	152 Giovanni Street	5547580967715285	2021-02-08	3ATM	giovanni.bianchi	giovanni	
Antonio	Esposito	495 Giovanni Street	2204850071580306	2022-02-25	1ASP	antonio.esposito	antonio	
Paolo	Bianco	872 Alessandro Street	6735787024860327	2019-11-07	2ODA	paolo.bianco	paolo	
Luigi	Verdi	465 Roberto Street	7251932998183757	2023-09-26	3ATM	luigi.verdi	luigi	
Luigi	Ricci	509 Giovanni Street	6807657090267976	2023-05-14	1ASP	luigi.ricci	luigi	
Alessandro	Ferrari	992 Francesco Street	9795774485367782	2022-06-12	1ASP	alessandro.ferrari	alessandro	
Francesco	Ricci	127 Antonio Street	6804714671503892	2023-02-05	2AET	francesco.ricci	francesco	
Alessandro	Romano	733 Francesco Street	1480989724258174	2020-04-10	3ATM	alessandro.romano	alessandro	
Davide	Ferrari	261 Davide Street	8720624570638279	2023-10-01	3BET	davide.ferrari	davide	
Roberto	Bianchi	866 Antonio Street	8284903605313371	2018-06-11	5BIF	roberto.bianchi	roberto	
